FID,NAME,F2005_06__,F2014_15__,Shape_Leng,Shape_Area
1,Alexandria,61.80452494,47.43383271,10168.6491783,3523770.96735
2,Forest Lodge + Annandale,35.71919636,51.48883287,8654.22694378,545770.4479
3,Millers Point + Barangaroo,66.46840078,86.0623232,3944.50880858,463478.909284
4,Beaconsfield,62.57337092,36.56490991,1916.72646779,167472.030508
5,Camperdown,84.55580918,89.12604764,7055.86073701,1072898.34556
6,Centennial Park,51.43972722,36.16426794,6581.99137251,259544.555621
7,Chippendale,86.31585226,98.718594,3166.13462031,460098.832079
8,Darlinghurst,106.3906964,92.53644831,4873.1218986,864892.268982
9,Darlington,30.68443541,72.36952726,2871.9660791,382870.894751
10,Dawes Point,73.52673004,67.3618514,3053.74323901,138515.222024
11,Elizabeth Bay,62.47656157,44.12131487,2759.75520525,248291.093508
12,Erskineville,46.87925568,32.83019048,4372.78362995,811940.543783
13,Eveleigh,48.49133549,55.10692823,4189.80926023,550397.058986
14,Glebe,46.60647221,31.36005946,7276.09357159,1679606.84232
15,Haymarket,155.8217113,125.6586364,3164.6604749,522403.520559
16,Waterloo + Moore Park,36.49945064,30.6092054,9658.83027945,2985616.35481
17,Newtown + St Peters,69.31118742,47.31883964,13320.5230737,980620.016238
18,Paddington,45.60681966,58.04559666,5702.23962195,460874.284992
19,Potts Point,59.6368469,48.23721668,5887.10013301,598884.432055
20,Pyrmont,121.6906124,98.27666546,7147.96851863,958896.038209
21,Redfern,66.01416692,45.98136951,5451.46687938,1156551.6743
22,Rosebery,72.94301041,56.61185226,6458.66925906,1452116.44482
23,Rushcutters Bay,37.79620782,35.31695189,2033.74791112,151670.327007
24,Surry Hills,92.36287915,74.00139774,5323.19530628,1326270.80005
25,Sydney,173.9988425,123.5078736,12443.6982086,2923348.0731
26,The Rocks,179.557348,124.3845951,2941.38601606,212620.279748
27,Ultimo,127.4448377,110.4900478,3320.36940929,559600.618194
28,Woolloomooloo,84.76847643,76.16541808,4267.01328415,411628.017644
29,Zetland,43.29098864,63.6544207,3636.02325811,800777.262041
